Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
НЛМК (NLMK 2019-01-04);4;+3.11%;155.68;150.12;+1.76%;20
Ростелеком, АП (RTKMP 2019-01-10);14;+2.01%;61.00;62.20;+1.97%;1
Ростелеком (RTKM 2019-01-10);17;+0.79%;71.38;72.59;+4.16%;11
ФосАгро (PHOR 2019-01-31);15;+2.74%;2583.00;2529.00;-0.89%;18
Акрон (AKRN 2019-03-20);2;+0.17%;4700.00;4594.00;-2.21%;2
НОВАТЭК (NVTK 2019-05-02);21;+13.84%;1207.20;1199.80;+9.59%;20
НЛМК (NLMK 2019-05-02);12;+3.91%;175.08;169.50;-1.26%;19
ЦМТ, АП (WTCMP 2019-05-06);11;+4.02%;7.24;6.76;-3.04%;10
ЦМТ (WTCM 2019-05-06);5;+3.76%;7.72;7.56;-2.07%;1
Московская Биржа (MOEX 2019-05-10);9;+1.07%;91.67;86.34;-2.65%;21
Полюс (PLZL 2019-05-14);19;+3.75%;5016.50;4964.00;+14.04%;22
Детский мир (DSKY 2019-05-23);16;+1.88%;89.80;85.58;-3.12%;20
Интер РАО (IRAO 2019-05-29);13;+8.18%;4.10;3.97;+23.22%;17
ОАО МРСК Урала (MRKU 2019-05-30);9;+8.37%;0.18;0.18;+1.79%;11
Корпорация ВСМПО-АВИСМА (VSMO 2019-05-30);8;+2.92%;17600.00;16900.00;-3.98%;1
Группа Компаний ПИК (PIKK 2019-05-30);20;+6.68%;389.90;368.40;-3.85%;20
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК (CBOM 2019-06-05);18;+0.66%;5.97;5.96;+2.26%;17
САФМАР Финансовые инвестиции (SFIN 2019-06-06);19;+5.18%;503.40;496.60;0.00%;15
МРСК Волги (MRKV 2019-06-06);21;+2.08%;0.11;0.10;-11.04%;1
